model,threshold,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV
LR,0.0495959595959595,53,360,10,873,0.8412698412698413,0.708029197080292,0.12832929782082325,0.9886749716874292
RF,0.0545454545454545,46,310,17,923,0.7301587301587301,0.748580697485807,0.12921348314606743,0.9819148936170212
XGBoost,0.0446464646464646,33,233,30,1000,0.5238095238095238,0.8110300081103001,0.12406015037593984,0.970873786407767
LightGBM,0.0396969696969696,47,364,16,869,0.746031746031746,0.7047850770478508,0.11435523114355231,0.9819209039548022
