,stroke,age,income_poverty_ratio,bmi,waist_circumference_cm,systolic_bp,diastolic_bp,pulse_pressure,map,hba1c,fasting_glucose,total_cholesterol,hdl_cholesterol,triglycerides,chol_hdl_ratio,omega3_index,alcohol_drinks_per_week,rx_med_count,rdw,mpv,hematocrit,hemoglobin,wbc_count,platelet_count,neutrophils_count,lymphocytes_count,nlr,plr,vascular_risk_score
fasting_glucose,0.08719121423151724,0.200531044374687,-0.06856572550026663,0.190157205715416,0.2415773906034188,0.14565073246141272,0.06412858210934338,0.12319557042956815,0.11571205811027366,0.7165028953083784,1.0,-0.03493344157970818,-0.10729959192664135,0.18257905122419937,0.07026605361030085,-0.03642468890827318,-0.0033455269902836118,0.27588025120106435,0.1002312082992359,0.048452012331750484,0.057399084683640245,0.046059662688164776,0.0597769420481445,-0.024528026056171295,0.09465254876626727,0.06265983249393085,0.0442193922891399,-0.055273160665830406,0.36611583107112317
total_cholesterol,-0.052386676398294474,-0.02663340933213698,0.02397961135738267,-0.049817182793271214,0.0035149121111419084,0.025566920183867217,0.09923779871665553,-0.040629676594090926,0.07586809351091668,-0.04651065573693811,-0.03493344157970818,1.0,-0.35010872619410344,-0.34535294312911907,0.8089921455758258,0.016777733583540982,0.07697298835603686,-0.13092731398305996,-0.058525521117460524,-0.06396386982084362,0.06010351657502606,0.038446440458928935,0.025758549651565932,0.1227547549802294,0.011205524393659494,0.0684353870150677,-0.07449186691015111,0.04559199937540963,-0.12954290166204924
hdl_cholesterol,0.0019428901252567152,0.048280746912587026,0.04977051900559837,-0.13647131926508532,-0.23829467557388806,0.026244045957001437,-0.03262148248171334,0.05345704262277217,-0.0070461467288671165,-0.11426028170898697,-0.10729959192664135,-0.35010872619410344,1.0,0.33684192829469545,-0.728725674805224,0.08348809183841079,0.08283273544979622,-0.05726630645703625,0.04217345421300965,-0.008521149193350662,-0.11647376933672318,-0.1051907010021328,-0.04329005896717618,-0.008003347986205151,-0.01378526137991963,-0.05925164046452974,0.006252975320742149,0.09634313223008352,-0.08482761094241804
triglycerides,0.03246702912212346,0.01859074256239134,-0.07198757894698278,0.16578746351115345,0.14431497007185512,0.05730013674867963,0.06825683643982267,0.018019575778851174,0.07269260459479135,0.17026350210660604,0.18257905122419937,-0.34535294312911907,0.33684192829469545,1.0,-0.2377994489354895,-0.040531363363786585,0.01853597501689151,0.06985287888400099,0.14174609244330733,0.015049033214708456,0.054473360860937126,0.06604301439431474,0.16325104156315415,0.041718314497514834,0.15340556517288428,0.135189716917238,-0.00444655059366769,0.01023819492879156,0.11023898793214587
chol_hdl_ratio,-0.026977222327365696,-0.06411723454948344,-0.034802846803786786,0.06684210164081972,0.15342329119139445,0.01409507362181459,0.08495261350370355,-0.04379878433005474,0.06092323791407667,0.05838444648995535,0.07026605361030085,0.8089921455758258,-0.728725674805224,-0.2377994489354895,1.0,-0.03752598121581646,0.02619856747195577,-0.054520641226532385,-0.0037573133161891118,-0.031223918063884405,0.11641171499606574,0.08853367014258966,0.09740458402248715,0.09825154429639053,0.08368108572030175,0.13264884423352422,-0.05826622170923383,0.0063859315051479765,-0.01785396941598855
omega3_index,0.00750748955396031,0.18249378143746006,0.2008913622156763,-0.13534825798694997,-0.1427503001208286,0.04714365979848851,-0.06373406024918679,0.09966087354846676,-0.015899467641287895,-0.008932832804106372,-0.03642468890827318,0.016777733583540982,0.08348809183841079,-0.040531363363786585,-0.03752598121581646,1.0,-0.051629399540249706,0.031395533131406375,-0.0023448127535794184,-0.015432761676267998,-0.0874561533888068,-0.08161689838584273,-0.044119920704192184,-0.06737611766144569,-0.08900771088703568,-0.058280749235948226,-0.047346316575121776,0.04778279562786734,0.0021037101641539816
alcohol_drinks_per_week,0.015392773566053949,-0.021356306462680788,0.025693469388394334,-0.043069519619933924,-6.545007711200538e-05,0.10548472061032779,0.10178820303342866,0.05006061442789098,0.11874996620049998,-0.050861489934870066,-0.0033455269902836118,0.07697298835603686,0.08283273544979622,0.01853597501689151,0.02619856747195577,-0.051629399540249706,1.0,-0.030581869830615258,-0.0036816992169183198,-0.020705810709821124,0.08102685346572083,0.09466539752533475,0.03266984293200093,-0.03508063896864226,-0.011608446161912873,-0.05953923760583921,0.052036457224113514,0.08036661470334622,0.024410425587081338
rx_med_count,0.20583710606283612,0.47233407909584874,-0.04834359462112867,0.1830754636008905,0.2561071766389509,0.1780707546742947,-0.018029682744053827,0.21885254267087811,0.0805748079497721,0.330423222868807,0.27588025120106435,-0.13092731398305996,-0.05726630645703625,0.06985287888400099,-0.054520641226532385,0.031395533131406375,-0.030581869830615258,1.0,0.17503644501612053,-0.02834751733813615,-0.0960471154568604,-0.11013182754388795,0.06481981544005742,-0.038742962553609345,0.05002353386426228,-0.060249178913153977,0.15304445783589116,0.036379495102517936,0.5991922146262894
rdw,0.07782499774587724,0.14909305714328852,-0.15328121192534747,0.22135912367079089,0.20891207405452042,0.08997712054129095,0.03671699733208705,0.07815658042107583,0.06965159019045677,0.16739151745287065,0.1002312082992359,-0.058525521117460524,0.04217345421300965,0.14174609244330733,-0.0037573133161891118,-0.0023448127535794184,-0.0036816992169183198,0.17503644501612053,1.0,-0.0049523080294699975,-0.3779896831001771,-0.28621843005079656,0.10663409038904154,0.09750256552728263,0.09022643345793953,0.0210995868070109,0.07428627901529343,0.11728378236423125,0.20622290577473512
mpv,0.0016690831546418026,-0.04472271204610002,-0.04338323515026713,0.029086910687877044,0.01638476011059179,-0.003471046578321158,0.005398041088597239,-0.007836935486972592,0.0016161211446232462,0.03636715801220525,0.048452012331750484,-0.06396386982084362,-0.008521149193350662,0.015049033214708456,-0.031223918063884405,-0.015432761676267998,-0.020705810709821124,-0.02834751733813615,-0.0049523080294699975,1.0,0.07713640327532952,0.05479111135816229,-0.08127342806321554,-0.3344201781260056,0.04194275517703774,0.06018823259325381,-0.02723207435254298,-0.2408549472067319,0.01665574360052447
hematocrit,-0.005680764227592235,-0.029638293831346536,0.09250024695677629,-0.017143456966081255,0.06796015306141093,0.06958475267886885,0.1542189566920829,-0.028588911266176083,0.13331834405514342,0.015011435331146345,0.057399084683640245,0.06010351657502606,-0.11647376933672318,0.054473360860937126,0.11641171499606574,-0.0874561533888068,0.08102685346572083,-0.0960471154568604,-0.3779896831001771,0.07713640327532952,1.0,0.7007004915600811,0.03346271890361001,-0.15344542388638863,0.0175507759465203,0.01599378156599264,-0.0029264391625158574,-0.11584835221699592,-0.02541942015413475
hemoglobin,-0.03449711050672185,-0.03356729184829987,0.10800530434428805,-0.030690008454172708,0.06141463656456604,0.05992162461287634,0.1632932859976299,-0.046193738253398633,0.1340581623571736,-0.037538996070430666,0.046059662688164776,0.038446440458928935,-0.1051907010021328,0.06604301439431474,0.08853367014258966,-0.08161689838584273,0.09466539752533475,-0.11013182754388795,-0.28621843005079656,0.05479111135816229,0.7007004915600811,1.0,0.022516231009338777,-0.16868582780749045,0.013170264451674678,0.009846740457869567,0.004648987003189577,-0.12444624210356481,-0.04363051710223731
wbc_count,0.042690860055867655,-0.05241046393281606,-0.08121407670614275,0.18302288287284393,0.16408427675162784,-0.008551886362995401,0.04438654014608224,-0.041305462926095514,0.023611954346372397,0.11928432446440856,0.0597769420481445,0.025758549651565932,-0.04329005896717618,0.16325104156315415,0.09740458402248715,-0.044119920704192184,0.03266984293200093,0.06481981544005742,0.10663409038904154,-0.08127342806321554,0.03346271890361001,0.022516231009338777,1.0,0.06690615203664912,-0.13968423968600593,-0.26441575940986844,0.12141497958673246,0.38136469197823947,0.08638396517964825
platelet_count,-0.04676913143857308,-0.16501807664136198,-0.05131847512713767,0.08709940261187189,0.04842969378400983,-0.08563121490418102,0.051538946139668626,-0.13557623928676693,-0.011677124920465106,-0.0054661768161245634,-0.024528026056171295,0.1227547549802294,-0.008003347986205151,0.041718314497514834,0.09825154429639053,-0.06737611766144569,-0.03508063896864226,-0.038742962553609345,0.09750256552728263,-0.3344201781260056,-0.15344542388638863,-0.16868582780749045,0.06690615203664912,1.0,0.3265389441876299,0.3270641668253845,0.01662262768578,0.22721919129813936,-0.06719548978824197
neutrophils_count,0.006485019253445306,-0.025464065612800436,-0.04887580368798698,0.10530137288725895,0.145435720168943,0.016834075560648892,0.013466584072452138,0.009954461436825471,0.017197119919436146,0.03141582239764499,0.09465254876626727,0.011205524393659494,-0.01378526137991963,0.15340556517288428,0.08368108572030175,-0.08900771088703568,-0.011608446161912873,0.05002353386426228,0.09022643345793953,0.04194275517703774,0.0175507759465203,0.013170264451674678,-0.13968423968600593,0.3265389441876299,1.0,0.6565407828915536,0.4410926230289045,-0.3784094737007683,0.07728478992248693
lymphocytes_count,-0.020420867067153306,-0.1346660488274891,-0.06056844415629208,0.07123119512305295,0.0725970806982798,-0.021525780243979442,0.050908559463653684,-0.060936087880107466,0.021030334049593508,0.028260490705878615,0.06265983249393085,0.0684353870150677,-0.05925164046452974,0.135189716917238,0.13264884423352422,-0.058280749235948226,-0.05953923760583921,-0.060249178913153977,0.0210995868070109,0.06018823259325381,0.01599378156599264,0.009846740457869567,-0.26441575940986844,0.3270641668253845,0.6565407828915536,1.0,-0.3015463601506771,-0.7225199848035773,-0.00889311956191046
nlr,0.037177654689315,0.15124072967630342,-0.005066203290089434,0.0398770461524346,0.09979543267570334,0.05695080251329518,-0.04362822571423583,0.0967846278816676,0.001861206492078204,0.01310621154323566,0.0442193922891399,-0.07449186691015111,0.006252975320742149,-0.00444655059366769,-0.05826622170923383,-0.047346316575121776,0.052036457224113514,0.15304445783589116,0.07428627901529343,-0.02723207435254298,-0.0029264391625158574,0.004648987003189577,0.12141497958673246,0.01662262768578,0.4410926230289045,-0.3015463601506771,1.0,0.3743849452306434,0.1255963122661349
plr,0.012989519785074666,0.0648900440096427,0.006230707413109251,-0.025220793171941404,-0.03131020952728406,0.001376693087551524,-0.02801917014702679,0.021419589438826495,-0.0169820423057047,-0.020297976307911865,-0.055273160665830406,0.04559199937540963,0.09634313223008352,0.01023819492879156,0.0063859315051479765,0.04778279562786734,0.08036661470334622,0.036379495102517936,0.11728378236423125,-0.2408549472067319,-0.11584835221699592,-0.12444624210356481,0.38136469197823947,0.22721919129813936,-0.3784094737007683,-0.7225199848035773,0.3743849452306434,1.0,-0.012596280174769988
vascular_risk_score,0.23161516272365498,0.4292420206918816,-0.15550979201260015,0.1827953260207436,0.27171521453652536,0.2761344720106172,0.05692271705359016,0.2793131586957664,0.1785466481986795,0.42654756162719076,0.36611583107112317,-0.12954290166204924,-0.08482761094241804,0.11023898793214587,-0.01785396941598855,0.0021037101641539816,0.024410425587081338,0.5991922146262894,0.20622290577473512,0.01665574360052447,-0.02541942015413475,-0.04363051710223731,0.08638396517964825,-0.06719548978824197,0.07728478992248693,-0.00889311956191046,0.1255963122661349,-0.012596280174769988,1.0
